Date,Close,High,Low,Open,Volume
,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS
2006-02-02,3.4713799953460693,3.5789274384702217,3.459429990302046,3.552040391812608,5348345
2006-02-03,3.450467586517334,3.4922912963618367,3.4265683237490463,3.4893038885158005,4803090
2006-02-06,3.5550267696380615,3.6117878890050577,3.417605640503924,3.417605640503924,4951621
2006-02-07,3.498265504837036,3.6058121686267497,3.4833280964465483,3.578926246185376,5554276
2006-02-08,3.4474809169769287,3.4773550018350625,3.429556466062049,3.4654049961386373,5446130
2006-02-10,3.450467586517334,3.6088002023572376,3.4355301755340624,3.483328701070637,5557864
2006-02-13,3.4683923721313477,3.4982664535076125,3.4415053271395806,3.477354596544227,5970299
2006-02-14,3.4624171257019043,3.5251534390401353,3.4474804570188384,3.5251534390401353,4939224
2006-02-15,3.4624171257019043,3.501254174342235,3.4474804570188384,3.492291578327401,5245745
2006-02-16,3.5819132328033447,3.8238939916431907,3.4504672985479887,3.4922910049019658,6314451
2006-02-17,3.4654042720794678,3.6864735690991046,3.45046760452443,3.5819135504359925,5588971
2006-02-20,3.435530424118042,3.483328953113165,3.4116307878673613,3.468392284555308,5879130
2006-02-21,3.4594295024871826,3.5221658119241046,3.4385176471769414,3.465404318290109,7329868
2006-02-22,3.4683923721313477,3.5580146162601425,3.450467923305588,3.453455331443215,6599990
2006-02-23,3.4325435161590576,3.5072283487534435,3.4146186953625204,3.468392414245866,5886306
2006-02-24,3.4325435161590576,3.468392414245866,3.405656842593951,3.450467965202462,7173704
2006-02-27,3.4385182857513428,3.5191786858235554,3.429556432135728,3.4444931026638645,5419681
2006-02-28,3.441504716873169,3.5251528734000193,3.4086436049395172,3.486315830991415,5649425
2006-03-01,3.4564425945281982,3.584900753486003,3.4116303639047216,3.4116303639047216,6270883
2006-03-02,3.4474809169769287,3.4952794527499425,3.4235812773372505,3.4654049961386373,8071854
2006-03-03,3.426567316055298,3.4952776763076043,3.4086428742503485,3.477353234502655,6005530
2006-03-06,3.4086437225341797,3.498265953862546,3.3877311250514106,3.4952785461516003,5735388
2006-03-07,3.363832473754883,3.4415054600868507,3.2861602309291995,3.4415054600868507,5491761
2006-03-08,3.3817574977874756,3.4654045529392437,3.3548704531006366,3.402669354513699,7767865
2006-03-09,3.399681329727173,3.426568372476938,3.3160335370955525,3.426568372476938,7031894
2006-03-10,3.3727948665618896,3.4295559916944582,3.3578578261988765,3.3608456060245993,5175153
2006-03-13,3.3608453273773193,3.420593112122569,3.3488953243245625,3.375781994748815,7155802
2006-03-14,3.3488962650299072,3.378770351670711,3.3220092152999903,3.3578584910221485,5650899
2006-03-16,3.330970525741577,3.399680898461265,3.3010960788930106,3.396693490951713,7211101
2006-03-17,3.330970525741577,3.3459071915362855,3.292133484611306,3.298108671383459,6703217
2006-03-20,3.363832473754883,3.584901427985517,3.3488958042428663,3.375782478520152,5403123
2006-03-21,3.330970525741577,3.405656085233418,3.3279831182320256,3.4026686777238666,5119071
2006-03-22,3.298109531402588,3.396694376677948,3.2861602700015267,3.396694376677948,4415878
2006-03-23,3.3010966777801514,3.3459077985530894,3.268234817460213,3.3160337180377972,4564773
2006-03-24,3.441504716873169,3.4654039777362335,2.903769302812373,3.3249954484126665,7164518
2006-03-27,3.561002254486084,3.6028267146215303,3.3698077495711405,3.486316674466607,6843383
